acc,height0622,coordinates
IL425,27.05699196995107,"(706, 281)"
IL425,23.17107168117781,"(899, 384)"
IL425,31.108620459448037,"(124, 388)"
IL425,26.41102182069734,"(312, 388)"
IL425,24.322812707030007,"(511, 388)"
IL425,24.1682357510456,"(709, 390)"
IL425,18.17921685183098,"(898, 498)"
IL425,29.987961571994944,"(118, 500)"
IL425,19.528036746070477,"(316, 607)"
IL425,22.0765660071088,"(901, 609)"
IL425,33.02788124852483,"(118, 610)"
IL426,27.20075365893884,"(901, 88)"
IL426,35.22281931972088,"(321, 92)"
IL426,37.981180828284856,"(123, 93)"
IL426,7.895029610467866,"(717, 93)"
IL426,18.770556550995693,"(904, 190)"
IL426,35.52650091176068,"(318, 196)"
IL426,30.34842236510004,"(124, 197)"
IL426,30.300829269969636,"(522, 199)"
IL426,35.70421235454675,"(713, 206)"
IL426,26.68793085764592,"(903, 304)"
IL426,38.923515837133806,"(514, 305)"
IL426,38.38467269536445,"(130, 306)"
IL426,38.32630190678555,"(312, 307)"
IL426,37.754759618228334,"(710, 309)"
IL426,37.74875475880452,"(132, 406)"
IL426,43.25306807593978,"(322, 407)"
IL426,35.65386409584028,"(515, 408)"
IL426,23.85721025474688,"(900, 412)"
IL426,33.00570489186018,"(710, 414)"
IL426,41.48636697866842,"(129, 505)"
IL426,6.007845168889396,"(521, 507)"
